artists,genres
judge bitch,['synthwave']
notaker,['complextro']
fractal man,['chillsynth']
relay & front,"['chillstep', 'deep liquid']"
ether,['underground hip hop']
forest knot,[]
ocula,['melodic house']
elvis presley,"['rock-and-roll', 'rockabilly']"
frank sinatra,"['adult standards', 'easy listening', 'lounge']"
dean martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
paul mccartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']"
donny hathaway,"['chicago soul', 'classic soul', 'funk', 'neo soul', 'quiet storm', 'soul', 'southern soul']"
ella fitzgerald,"['adult standards', 'jazz', 'jazz blues', 'soul', 'swing', 'vocal jazz']"
shakin' stevens,"['classic uk pop', 'rockabilly']"
kelly clarkson,"['dance pop', 'pop', 'talent show']"
mariah carey,"['dance pop', 'pop', 'urban contemporary']"
bing crosby,"['adult standards', 'easy listening', 'lounge', 'swing']"
britney spears,"['dance pop', 'pop']"
andy williams,"['adult standards', 'easy listening']"
kylie minogue,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']"
sheffield,[]
bobby helms,[]
michael bublã©,['Unknown']
tony bennett,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
leona lewis,"['british soul', 'dance pop', 'pop', 'talent show']"
the ronettes,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']"
perry como,"['adult standards', 'easy listening']"
chris rea,"['soft rock', 'sophisti-pop']"
george ezra,"['folk-pop', 'neo-singer-songwriter']"
daryl hall & john oates,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
the jackson 5,"['motown', 'soul']"
natalie taylor,[]
nina nesbitt,"['alt z', 'neo-singer-songwriter', 'uk pop']"
jonas brothers,"['boy band', 'pop']"
liam payne,['pop']
brenda lee,"['adult standards', 'easy listening', 'lounge', 'rockabilly']"
andreas weise,['melodipop']
kacey musgraves,"['classic texas country', 'contemporary country', 'country dawn']"
taylor swift,['pop']
jessie j,"['modern country pop', 'singer-songwriter pop']"
rozes,[]
josã© feliciano,[]
chuck berry,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
train,"['hip pop', 'pop']"
band aid,['musical advocacy']
wham!,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
hannah kerr,"['anthem worship', 'ccm']"
james tw,"['british singer-songwriter', 'uk pop']"
justin bieber,"['canadian pop', 'pop']"
alessia cara,"['canadian contemporary r&b', 'canadian pop', 'pop']"
cã©line dion,['Unknown']
devin dawson,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
burl ives,"['adult standards', 'american folk revival']"
meghan trainor,"['hip pop', 'pop']"
ajaton,[]
empathetic inviction,[]
orbiter,['gaming edm']
baldocaster,"['spacewave', 'synthwave']"
donbor,"['darksynth', 'synthwave']"
syrian,"['aggrotech', 'futurepop', 'neo-synthpop']"
niky nine,['synthwave']
jay critch,"['nyc rap', 'trap']"
arizona zervas,"['indie pop rap', 'pop rap', 'rhode island rap']"
the police,"['album rock', 'classic rock', 'permanent wave', 'rock']"
big k.r.i.t.,"['conscious hip hop', 'mississippi hip hop', 'southern hip hop', 'trap']"
aitch,"['manchester hip hop', 'uk hip hop']"
s-x,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
killrbuckeye,[]
pontiac at night,['synthwave brasileiro']
dynatron,"['spacewave', 'synthwave']"
vosto,[]
anevo,"['deep uplifting trance', 'gaming edm']"
nutronic,['electronic rock']
ace buchannon,"['spacewave', 'synthwave']"
megami33,['otacore']
axis,[]
dave neven,['progressive trance']
lil tecca,"['melodic rap', 'pluggnb', 'rap']"
johnatron,[]
jay ray,['alternative r&b']
becko,[]
noisecream,['dark clubbing']
citizen 12b,['spacewave']
darren styles,"['happy hardcore', 'hardcore techno']"
thomas feijk,[]
sebastian gampl,['synthwave']
fastway,['glam metal']
daxson,['progressive trance']
ludowic,['modular synth']
kross,"['dutch house', 'dutch pop']"
realx,[]
celestial aeon project,['commons']
dutyyaknow,[]
tokyo rose,"['dark clubbing', 'synthwave']"
v6,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
dimi kaye,"['cyberpunk', 'nightrun', 'synthwave']"
rush,"['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'progressive rock', 'rock']"
nokae,['kawaii future bass']
nippandab,"['covertronica', 'indian edm', 'slap house']"
kiba,"['arabesk', 'turkish pop']"
ace marino,['synthwave']
lektrique,"['complextro', 'dark clubbing', 'electro trash', 'gaming dubstep']"
braken,"['glitchcore', 'hyperpop']"
retrodict,[]
nightmareowl,[]
taurus 1984,[]
the kid laroi,['australian hip hop']
fatal fe,['visual kei']
qwazi,[]
merino,[]
niklas johansson,[]
masayoshi soken,[]
anders enger jensen,"['c64', 'demoscene']"
battlejuice,"['darksynth', 'synthwave']"
kota suzuki,['sound team']
lord phobos,[]
xavier dang,[]
late night savior,['gymcore']
chrisson,['gaming edm']
paradelous,[]
the space pilots,[]
daniel olsã©n,['Unknown']
kentaro nakajima,[]
millennium falck,['popwave']
confrontational,['darksynth']
10eighty6,['popwave']
collide,['white noise']
ollie wride,"['nightrun', 'popwave']"
juno's touch,['Unknown']
shortwire,[]
the bad dreamers,"['popwave', 'spacewave']"
zeta,[]
michael wyckoff,[]
satellite young,[]
leslie parrish,"['eurobeat', 'super eurobeat']"
vukovi,['pixie']
5haus,[]
akira the don,['welsh hip hop']
kraysh,['canadian electronic']
moondragon,['synthwave']
arkane skye,[]
mega drive,"['cyberpunk', 'darksynth', 'synthwave']"
trevor something,"['popwave', 'synthwave']"
kn1ght,['synthwave']
sami matar,['spacewave']
botnit,['synthwave']
stellar circuits,['progressive alternative']
sundial aeon,"['ambient psychill', 'progressive breaks', 'psychill']"
kubilay aydin,['turkish edm']
gattãso,['Unknown']
amtm,[]
new ordinance,[]
yuri kane,"['deep uplifting trance', 'russian trance', 'trance', 'uplifting trance']"
seeb,[]
motorcycle,"['garage rock', 'garage rock revival', 'modern blues rock', 'permanent wave']"
existential continuum,[]
mina,[]
rylan taggart,['melodic house']
dory badawi,[]
sheridan grout,['canadian electronic']
fady x mina,['arab electronic']
r3hab,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']"
james dymond,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
miikka leinonen,[]
ekali,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'future bass', 'vapor twitch']"
julie bergan,['norwegian pop']
tenishia,"['deep uplifting trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
escea,[]
beatsole,"['progressive trance', 'russian trance', 'uplifting trance']"
antillas,['deep uplifting trance']
the source,[]
dt8 project,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
gabriel & dresden,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
kasbo,"['future bass', 'pop edm', 'swedish electropop', 'vapor twitch']"
lessov,['progressive trance house']
breame,[]
rene ablaze,"['dutch trance', 'progressive uplifting trance', 'uplifting trance']"
darren porter,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
pathfinders,['tech trance']
triode,[]
jonas viken,[]
phillip j,"['christian indie', 'roots worship']"
rated r,[]
irving force,"['cyberpunk', 'nightrun', 'synthwave']"
deon custom,"['future bass', 'gaming edm']"
kindrid,[]
nomyn,[]
pr1me,"['rap chileno', 'rap norteno chileno']"
rvdy,['traprun']
she's not real,"['chillsynth', 'synthwave']"
pilotpriest,[]
magnus deus,[]
flybyno,['Unknown']
jimmy urine,[]
carbon killer,['cyberpunk']
astrale,[]
misanthropix,"['darksynth', 'synthwave brasileiro']"
unprocessed,['djent']
paul thomas,"['melodic house', 'progressive house']"
8.02,[]
alt-j,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock', 'shimmer pop']"
nikolauss,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
aurora,"['art pop', 'norwegian pop']"
futurecode,[]
francesco sambero,['progressive trance']
signalrunners,"['progressive house', 'trance', 'uplifting trance']"
cheat codes,"['edm', 'pop', 'pop dance']"
elevven,['progressive trance']
i am waiting for you last summer,"['atmospheric post-rock', 'instrumental post-rock', 'russian post-rock']"
kromea,[]
youth 83,['chillsynth']
border 242,[]
dead astronauts,"['experimental dubstep', 'synthwave']"
absolute valentine,"['darksynth', 'synthwave']"
koan,[]
eleven.five,"['progressive trance', 'progressive trance house']"
decent & snapper,[]
rosentwig,"['chillsynth', 'synthwave']"
elypsis,['progressive trance']
tinlicker,['melodic house']
brent rix,[]
danny cullen,[]
coast 2 coast,['deep progressive trance']
marcus santoro,['progressive trance']
back talk,[]
lkx,[]
vinny degeorge,[]
fonzerelli,"['bouncy house', 'deep progressive trance']"
frei,[]
tommy conway,[]
airlab7,['progressive uplifting trance']
guru groove foundation,[]
draft,['drumless hip hop']
retouch,['synthwave']
megan mcduffee,[]
fractal dreamers,['speedrun']
rtpn,[]
louder dale,[]
declan james,[]
papulin,['russian trance']
future disciple,[]
a-ha,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
genesis,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
kenny loggins,"['album rock', 'classic rock', 'mellow gold', 'new wave pop', 'singer-songwriter', 'soft rock', 'yacht rock']"
foreigner,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
john parr,['new wave pop']
huey lewis & the news,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']"
van halen,"['album rock', 'classic rock', 'hard rock', 'rock']"
nik kershaw,"['new romantic', 'new wave', 'new wave pop']"
ultravox,"['new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
depeche mode,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock', 'synthpop']"
men without hats,"['classic canadian rock', 'new romantic', 'new wave pop', 'synthpop']"
kenny rogers,"['classic country pop', 'country', 'nashville sound', 'soft rock']"
gordon lightfoot,"['canadian country', 'canadian singer-songwriter', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
dolly parton,"['classic country pop', 'country', 'country dawn']"
potholes,[]
notsure,[]
jon everist,['video game music']
by an ion,[]
modern day babylon,"['djent', 'instrumental djent', 'instrumental progressive metal']"
aurix,"['chillstep', 'melodic dubstep']"
kenji sekiguchi,['japanese progressive house']
shikimo,"['chillsynth', 'spacewave', 'synthwave']"
dreamstate logic,['space ambient']
c.db.sn,[]
r armando morabito,['epicore']
skarlett riot,"['gothic alternative', 'pixie', 'slayer']"
i will never be the same,['future rock']
shio-z,[]
mazmoneth,[]
cora zea,['background music']
chymeris,[]
john ocean,['background music']
william edessa,['background music']
malto fanier,['background music']
primer dia,['background music']
haloweak,[]
eco,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']"
andain,"['trance', 'uplifting trance', 'vocal trance']"
sandman,"['abstract hip hop', 'alternative hip hop', 'east coast hip hop']"
david chappell,['epicore']
laura brehm,"['gaming edm', 'pop edm']"
circe electro,[]
stellar exodus,['spacewave']
dabin,"['canadian electronic', 'melodic dubstep', 'pop edm']"
zoe moon,[]
ulisess,['dark clubbing']
justin somersby,[]
mental minority,[]
harald revery,[]
dem mc,[]
killabyte,['gaming edm']
exclusion,['melodic dubstep']
t-mass,"['alternative rock', 'bay area indie', 'garage rock', 'indie rock', 'neo-psychedelic', 'noise pop', 'shoegaze']"
division,"['alternative rock', 'indie rock', 'madchester', 'new wave', 'post-punk', 'punk', 'rock', 'uk post-punk']"
fantastisizer,['synthwave']
miroir,[]
paul hadame,[]
dan avidan,[]
wake me,['gymcore']
seal,"['british soul', 'new wave pop']"
midnight danger,['synthwave']
jacoo,['chillstep']
orax,['synthwave']
dj ten,"['deep disco house', 'italian electronica', 'melodic techno', 'microhouse']"
evocativ,"['chillstep', 'substep']"
essenger,[]
electric dragon,"['darksynth', 'synthwave']"
20six hundred,['synthwave']
occams laser,"['darksynth', 'synthwave']"
ex machina,['cyberpunk']
dreamreaper,"['cyberpunk', 'darksynth']"
speed machine,"['darksynth', 'synthwave']"
boxplot,"['deep liquid', 'stateside dnb']"
xyce,['chiptune']
nash,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
synthwave goose,[]
compilerbau,['synthwave']
down,[]
fm-84,"['popwave', 'synthwave']"
year 200x,['scorecore']
nelver,"['deep liquid', 'liquid funk', 'russian dnb']"
camo & krooked,"['austrian dnb', 'dancefloor dnb', 'drum and bass']"
delta heavy,"['brostep', 'drum and bass', 'filthstep']"
octiv,['future rock']
3d stas,['future rock']
blue marble,"['belgian dnb', 'dancefloor dnb']"
living sacrifice,"['arkansas metal', 'christian hardcore', 'christian metal', 'christian metalcore', 'christian thrash metal']"
andromedik,['speedrun']
sub focus,"['dancefloor dnb', 'drum and bass', 'uk dance']"
dimension,"['dancefloor dnb', 'drum and bass', 'uk dnb']"
the stupendium,"['otacore', 'pixel']"
misun,[]
chinensis,[]
squigglydigg,"['otacore', 'pixel']"
kream,"['houston rap', 'melodic rap', 'trap', 'underground hip hop']"
flite,"['liquid funk', 'stateside dnb']"
humanature,"['indie veneto', 'jazzy dnb', 'liquid funk']"
bert h,[]
until the dawn,[]
tantrum desire,"['drum and bass', 'jump up', 'neurostep']"
rare candy,['chicago pop punk']
cage the elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']"
the heavy,"['bath indie', 'modern blues rock']"
brian tuey,['video game music']
treyarch,[]
wind rose,"['fantasy metal', 'italian folk metal', 'italian power metal', 'middle earth', 'tolkien metal']"
cyreon,['spacesynth']
thomas barrandon,['synthwave']
soular order,['chillstep']
w o l f c l u b,"['nightrun', 'popwave', 'synthwave']"
flymeon,[]
chrome canyon,[]
shredder 1984,"['cyberpunk', 'darksynth', 'synthwave']"
dag unenge,[]
haliene,['melodic dubstep']
trifonic,"['ambient idm', 'chillstep', 'substep']"
finishing move inc.,['video game music']
etherwood,"['deep liquid', 'drum and bass', 'liquid funk']"
skjalg a. skagen,['chillsynth']
robert parker,['synthwave']
24:07:00,['Unknown']
kobaryo,"['j-core', 'rhythm game']"
thorsten quaeschning,['berlin school']
meishi smile,['bitpop']
haka,[]
satellite empire,[]
carsky,[]
saviour3.0,['pop']
nina,[]
whiteroom,[]
anki,[]
mitiska,['deep uplifting trance']
bicep,"['ambient house', 'electronica']"
will vance,[]
simon o'shine,"['progressive uplifting trance', 'trance', 'uplifting trance']"
zetandel,[]
trance classics,[]
yukacco,['j-core']
nightrun87,['polish electronica']
moskva-kassiopeya,['spacewave']
ben mcconnell,[]
insigma,['deep progressive trance']
peter yorck,[]
thomas mengel,['progressive trance']
gary clark jr.,"['electric blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues']"
babywolf,[]
extra terra,"['brostep', 'dark clubbing', 'gaming dubstep']"
the dali thundering concept,['djent']
dubvision,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
anthony vincent,['metal cover']
street cleaner,"['cyberpunk', 'darksynth', 'synthwave']"
end of the world,[]
sub morphine,"['chillsynth', 'spacewave', 'synthwave']"
the qemists,"['drum and bass', 'future rock']"
freqgen,[]
lazerpunk,"['cyberpunk', 'dark clubbing', 'darksynth']"
namco sounds,['japanese vgm']
mitsunori ikeda,['weirdcore']
kuaigon,[]
tasha baxter,[]
hommarju,['j-core']
vincenzo salvia,"['nightrun', 'synthwave']"
cyanotic,['industrial metal']
olivier deriviere,['video game music']
mykool,[]
mogi grumbles,['cyberpunk']
powerwolf,"['german metal', 'german power metal', 'power metal']"
i-exist,"['gymcore', 'hard alternative']"
melleefresh,['canadian electronic']
yuzo koshiro,['japanese vgm']
mittsies,[]
xan griffin,"['future bass', 'melodic dubstep', 'pop edm']"
android52,"['future funk', 'kawaii future bass']"
volta,"['dark cabaret', 'steampunk']"
quixotic,['synthwave']
whoman,[]
spectral,['color noise']
3lau,"['edm', 'electro house', 'mashup', 'pop dance', 'progressive electro house', 'progressive house']"
mark norman,"['deep comedy', 'new comedy']"
triple a,[]
physical phase,[]
vlad enthu,[]
sizzle bird,['chillstep']
jason charles miller,['video game music']
maxski,[]
code:manta,[]
dj kimera,[]
dj genki,['j-core']
lite show magic,['j-core']
unknown error,"['darkstep', 'neurofunk']"
malo,"['dfw rap', 'melodic rap', 'pop', 'rap']"
jay the bard,[]
d-charged,['euphoric hardstyle']
morch kovalski,[]
losers,['miami indie']
palmmute,[]
iamone,"['electronic djent', 'polish metalcore']"
mcrocklin & hutch,[]
thomas giles,[]
elysian,[]
vhs glitch,"['cyberpunk', 'darksynth', 'synthwave']"
epic mountain,[]
tyler clark,['anime rap']
helynt,"['lo-fi vgm', 'pixel', 'vgm remix']"
moe shop,"['future funk', 'kawaii future bass']"
odd chap,['electro swing']
yoshiya terayama,['sound team']
jason richardson,"['djent', 'shred']"
snail's house,['kawaii future bass']
hammock,"['ambient guitar', 'ambient post-rock', 'ambient worship', 'compositional ambient', 'instrumental post-rock', 'post-rock', 'space ambient']"
max freegrant,[]
marco borsato,"['dutch cabaret', 'dutch pop', 'dutch rock']"
arkham knights,[]
dankmus.,[]
re:make,['ocean']
tyler smyth,[]
cody matthew johnson,['video game music']
mabanua,"['japanese r&b', 'japanese soul']"
myth & roid,"['anime', 'j-pixie']"
grillo,[]
borislav slavov,['video game music']
n.o.v.a.,['rap rock']
thedancingfishstick,[]
gooseworx,"['otacore', 'pixel', 'sillycore']"
obnx,['epunk']
crazy world of arthur brown,[]
we hunt buffalo,"['canadian stoner rock', 'psychedelic doom', 'retro metal']"
the who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']"
ennio morricone,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']"
the rolling stones,"['album rock', 'british invasion', 'classic rock', 'rock']"
king crimson,"['art rock', 'instrumental rock', 'jazz rock', 'progressive rock', 'psychedelic rock', 'symphonic rock', 'zolo']"
karen carpenter,['yacht rock']
kansas,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']"
blue ãyster cult,['Unknown']
led zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']"
realfaction,[]
starkill,"['electro house', 'progressive electro house']"
stamper,[]
damus1cmahn,[]
sir meow,['furry']
nordex,['otacore']
pawel blaszczak,['video game music']
myuu,[]
blue swede,['classic swedish pop']
heart,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
corey coyote,['furry']
deadlift lolita,"['idol rock', 'kawaii metal']"
brandon m. dennis,[]
mr.black,"['champeta', 'salsa choke']"
iris,[]
toroi,[]
astrosphere,[]
manuel,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
ahmed helmy,[]
oboy,"['french hip hop', 'pop urbaine', 'rap francais']"
massive new krew,"['j-core', 'rhythm game']"
trocadero,[]
taylor turner,[]
man parrish,"['electro', 'miami bass']"
meditation music zone,['sleep']
the jacksons,"['disco', 'motown']"
rockwell,[]
arcandia,['fantasy']
graeme cornies,['video game music']
cphmania,[]
psychostick,"['comic', 'comic metal', 'funk rock']"
calum bowen,"['indie game soundtrack', 'sillycore']"
fred avril,[]
twitchhits,['Unknown']
desired,['future funk']
lemon demon,"['indietronica', 'pov: indie']"
noisuf-x,['aggrotech']
shoji meguro,[]
jakeneutron,"['otacore', 'pixel', 'rhythm game']"
seth everman,[]
rich douglas,[]
paul shortino,[]
bonecage,"['antiviral pop', 'geek rock', 'pixel']"
the pop posse,[]
oliver tree,['alternative hip hop']
jaden,"['pop rap', 'rap']"
brockhampton,"['boy band', 'rap']"
justin rarri,['melodic rap']
beyond the guitar,['instrumental acoustic guitar']
doni,"['classical', 'early romantic era', 'italian opera', 'italian romanticism', 'opera']"
troy baker,[]
riot,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
a sound of thunder,['environmental']
free dominguez,['video game music']
neo liu,[]
pogo,['plunderphonics']
sharm,['haryanvi pop']
coffee date,['lo-fi vgm']
conway the machine,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'upstate ny rap']"
wigley vogtner,['Unknown']
julien-k,['industrial metal']
ç´åã²ã³ã(cv:ãã¡ã¤ã«ã¼ãºãã),['Unknown']
iris official,[]
r3cycle kravitz,['Unknown']
nifra,['progressive trance']
dead or alive,"['hi-nrg', 'new romantic', 'new wave pop', 'synthpop']"
benya,[]
bill xtillidiex muir,['japanese vgm']
scott brown,"['happy hardcore', 'hardcore techno']"
miura jam,[]
flags of our fathers,['Unknown']
michael lementi,['scorecore']
hikaru utada,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']"
hiroki kikuta,['japanese vgm']
amos roddy,"['indie game soundtrack', 'video game music']"
purpleschala,['scorecore']
omri,[]
xomu,['speedrun']
rejection,['kawaii edm']
silence groove,"['liquid funk', 'slovak electronic']"
subwave & the dual personality,[]
breakshift,['deep liquid']
pola & bryson,['liquid funk']
monrroe,"['liquid funk', 'uk dnb']"
itro,['gaming edm']
fliwo,"['dancefloor dnb', 'uk dnb']"
kori,"['funk carioca', 'funk das antigas']"
dave owen,"['jazzy dnb', 'liquid funk', 'stateside dnb']"
loz contreras,"['chillstep', 'deep liquid', 'liquid funk']"
subformat,['gaming edm']
edlan,"['dutch dnb', 'liquid funk']"
fox stevenson,"['complextro', 'dancefloor dnb', 'electro house']"
hybrid minds,"['drum and bass', 'liquid funk']"
janee,[]
dan johansen,['speedrun']
s3rl x lida,['russian rave']
murica,"['brazilian hip hop', 'rap df']"
dead like juliet,['italian metalcore']
endigo,"['antiviral pop', 'pixel']"
manshn,[]
murdock,"['contemporary r&b', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
polygon,[]
brookes brothers,"['dancefloor dnb', 'drum and bass', 'liquid funk']"
alb,[]
fwlr,[]
alpha street,[]
wavestar 21,[]
bachelors of science,"['drum and bass', 'liquid funk', 'stateside dnb']"
nymfo,"['dutch dnb', 'liquid funk', 'neurofunk']"
sigma,"['dancefloor dnb', 'house', 'pop dance', 'uk dance']"
lexurus,"['dancefloor dnb', 'dutch dnb']"
dossa & locuzzed,['austrian dnb']
amphix,[]
hugh hardie,['liquid funk']
dan dakota,['dancefloor dnb']
dexcell,['liquid funk']
low:r,['icelandic indie']
phase,"['cloud rap', 'emo rap']"
martin mittone,['chillstep']
three20,[]
urbandawn,"['brazilian dnb', 'drum and bass']"
alexus,[]
lenzman,"['drum and bass', 'dutch dnb', 'jazzy dnb', 'liquid funk']"
futuristik,['gaming edm']
clark cables,[]
dj fresh,"['dancefloor dnb', 'drum and bass', 'uk dance']"
smooth,"['color noise', 'shush']"
future prophecies,"['darkstep', 'drum and bass']"
skeletone,"['gothabilly', 'horror punk']"
low5,['covertronica']
wilkinson,"['dancefloor dnb', 'drum and bass', 'uk dance']"
dawn wall,['liquid funk']
bcee,"['drum and bass', 'liquid funk']"
the upbeats,"['darkstep', 'drum and bass', 'neurofunk', 'nz dnb', 'nz electronic']"
kg,[]
aetherial,[]
starley,['aussietronica']
technimatic,"['dancefloor dnb', 'liquid funk']"
macca,[]
aperio,"['liquid funk', 'uk dnb']"
the levels,[]
darren tate,['deep progressive trance']
mikel,['lo-fi vgm']
revizia,"['dark clubbing', 'darksynth']"
the outsiders,[]
air.k & cephei,"['austrian dnb', 'liquid funk']"
toronto is broken,['abstract idm']
flux pavilion,"['brostep', 'classic dubstep', 'complextro', 'edm', 'electro house']"
logistics,"['drum and bass', 'liquid funk', 'uk dnb']"
oakwite,"['liquid funk', 'stateside dnb']"
high contrast,"['drum and bass', 'uk dance', 'uk dnb']"
jack mirror,['uk dnb']
colossus,['dark trap']
prolix,"['darkstep', 'neurofunk']"
aran,[]
alien ant farm,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge']"
shania twain,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']"
afi,[]
backstreet boys,"['boy band', 'dance pop', 'pop']"
good charlotte,"['alternative metal', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']"
spice girls,"['dance pop', 'girl group', 'pop']"
shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
tlc,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']"
r. kelly,"['atl hip hop', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']"
steps,[]
jay-z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
westlife,['boy band']
comaduster,"['abstract idm', 'future rock']"
slippy,"['gaming edm', 'melodic dubstep']"
drumsound & bassline smith,"['drum and bass', 'jump up', 'jungle', 'neurofunk']"
little nii,[]
roos denayer,['dancefloor dnb']
cartoon group,[]
smash mouth,"['pop rock', 'post-grunge']"
raise spirit,['dancefloor dnb']
telomic,"['liquid funk', 'uk dnb']"
reflektor,[]
flowidus,['nz electronic']
concord dawn,"['drum and bass', 'neurofunk', 'nz dnb', 'nz electronic']"
featurecast,"['bboy', 'breakbeat', 'funky breaks']"
michel mondrain,['atmosphere']
natural x,['background music']
juni tinley,"['atmosphere', 'healing hz']"
strange imagining,[]
cerulean skies,"['background music', 'calming instrumental']"
ears of light,"['focus', 'relaxative']"
lsb,"['jazzy dnb', 'liquid funk']"
utah jazz,"['drum and bass', 'jazzy dnb', 'liquid funk']"
loadstar,"['drum and bass', 'jump up', 'neurofunk']"
glxy,"['deep dnb', 'liquid funk']"
blooom,[]
venom faun,['background music']
rãze,[]
kabuki,[]
thefatrat,['speedrun']
night club,"['industrial pop', 'la pop']"
the chalkeaters,"['otacore', 'pixel']"
ãlan vital,['Unknown']
victor mcknight,"['otacore', 'pixel']"
kohta yamamoto,[]
hiraeth,[]
woody,"['old west', 'video game music']"
stanza,[]
manoeuvres,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
kove,[]
phaction,"['jazzy dnb', 'uk dnb']"
echo inada,['deep liquid']
priority one,['dancefloor dnb']
seba,[]
drifta,['zambian hip hop']
dodge & fuski,"['brostep', 'dubstep', 'filthstep']"
madface,"['czech electronic', 'deep liquid']"
fred v,"['classical', 'early romantic era', 'polish classical']"
fashion police,[]
redemptive,[]
jorja smith,"['r&b', 'uk contemporary r&b']"
jakwob,[]
dennis pedersen,[]
modest intentions,['deep liquid']
franklin,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul', 'vocal jazz']"
rusko,"['brostep', 'classic dubstep', 'filthstep']"
riya,[]
luca,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
akahendy,[]
sektor,"['classic russian rock', 'kavkaz', 'russian punk', 'russian punk rock', 'russian rock']"
skeets,"['arkansas country', 'honky tonk', 'western swing']"
aruna,[]
subwave,"['liquid funk', 'russian dnb']"
calibre,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
gavin g,['modern country pop']
dpb,[]
ekko & sidetrack,['dancefloor dnb']
emily underhill,['chillstep']
the invaderz,[]
melo,"['classic oklahoma country', 'modern country pop', 'oklahoma country', 'texas country']"
fake static noise,[]
mage,[]
danny byrd,"['drum and bass', 'jungle', 'uk dnb']"
demigroove,[]
pete cottrell,['instrumental progressive metal']
cloud 9+,['hungarian edm']
m-project,['indonesian lo-fi pop']
nu:logic,"['drum and bass', 'liquid funk', 'uk dnb']"
